
Época 46600| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 46700| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 46800| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 46900| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 47000| Train Loss 0.0| Train ACC 1.0| Test loss 22.543380403124992| Test Acc 0.821

*********************************

Época 47100| Train Loss 0.0| Train ACC 1.0| Test loss 22.543380403124992| Test Acc 0.821

*********************************

Época 47200| Train Loss 0.0| Train ACC 1.0| Test loss 22.543380403124992| Test Acc 0.821

*********************************

